date,symbol,event,prior_regime,detector,fwd_5,fwd_10,fwd_20,fwd_40
2024-08-02,AAAU,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,-0.003731343283582045,0.028606965174129195,0.02632669983416247,0.07898009950248741
2025-10-27,AACB,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,0.0009765625,0.0029296875,0.0078125,
2024-05-22,AADR,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,0.016142890292315526,-0.008159246414258914,-0.031747997817511364,-0.013646825670582285
2025-08-19,AAME,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,-0.008498583569405027,-0.07648725212464591,-0.025495750708215303,-0.16147308781869685
2025-08-05,AAMI,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,0.07274360125729684,0.05904804669959596,0.1268522676246071,0.038167938931297885
2024-11-29,AAOI,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,-0.056768558951964976,-0.11620572537603102,-0.1208151382823871,-0.3190198932557011
2025-11-20,AAPD,SOW_after_ACCUMULATION,ACCUMULATION,contextual_event,-0.04325130499627139,-0.04250559284116329,-0.023117076808352066,
2024-04-30,AAPY,SOW_after_ACCUMULATION,ACCUMULATION,contextual_event,0.058367306779146144,0.0781054153601326,0.07824658518743499,0.13213495835490097
2024-07-18,AAPY,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,-0.02868203672211589,-0.0295598708592123,0.004157775076121917,-0.011331038966285956
2024-10-24,AB,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,-0.03415015641293018,-0.021115745568300426,-0.04275286757038588,-0.02867570385818563
2024-04-26,ABBV,SOW_after_ACCUMULATION,ACCUMULATION,contextual_event,0.026124545796265997,0.007079313369251938,-0.01603809046485405,0.06972810424758791
2024-11-06,ABCB,SOS_after_ACCUMULATION,ACCUMULATION,contextual_event,-0.016305875737981368,-0.04259207197076187,-0.03190891200449808,-0.12440258644925506
2024-03-01,ABEO,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,0.020486555697823317,0.10499359795134455,-0.011523687580025643,-0.5595390524967989
2025-04-08,ABEO,SOW_after_ACCUMULATION,ACCUMULATION,contextual_event,0.13888888888888884,0.20833333333333326,0.21874999999999978,0.5
2025-04-07,ABFL,SOW_after_ACCUMULATION,ACCUMULATION,contextual_event,0.06479556479556492,0.05656618156618154,0.13929313929313936,0.213674636174636
