symbol,date,event,score,detector
A,2024-05-30,SC,5.267715172921552,incremental_baseline
A,2024-06-05,AR,0.5679541131815081,incremental_baseline
A,2025-04-04,SOW,1.5075899557993413,incremental_baseline
A,2025-08-28,BC,3.389897605180084,incremental_baseline
A,2025-09-02,AR_TOP,0.5364685039328948,incremental_baseline
A,2025-09-03,SPRING,1.20938244782091,incremental_baseline
A,2025-09-05,UT,-0.1637768795473314,incremental_baseline
A,2025-09-30,SOS,2.2621426239973386,incremental_baseline
AACB,2025-10-07,BC,2.2266278170033362,incremental_baseline
AACB,2025-10-08,AR_TOP,1.8855159249949969,incremental_baseline
AACB,2025-10-27,SOS,2.0931893725407895,incremental_baseline
AA,2024-04-18,BC,2.1875957613725716,incremental_baseline
AA,2024-04-23,AR_TOP,0.9594388208908353,incremental_baseline
AA,2024-05-06,UT,-0.8867173905440057,incremental_baseline
AA,2024-05-13,SOS,2.2425473938142915,incremental_baseline
AA,2025-04-09,SC,3.328916711998165,incremental_baseline
AAAU,2024-04-15,BC,2.381084441586524,incremental_baseline
AAAU,2024-04-17,AR_TOP,0.6607704547327479,incremental_baseline
AAAU,2024-05-21,UT,-0.6452152025144513,incremental_baseline
AAAU,2024-08-02,SOS,3.889598545638117,incremental_baseline
AADR,2024-04-03,BC,2.3497001354718354,incremental_baseline
AADR,2024-04-04,AR_TOP,2.7577562340965085,incremental_baseline
AADR,2024-05-22,SOS,1.544027630151247,incremental_baseline
AADR,2024-06-12,UT,1.3171365361241965,incremental_baseline
AADR,2024-08-06,SC,3.441001828791777,incremental_baseline
AADR,2024-08-08,AR,0.6122426088890806,incremental_baseline
AACG,2024-03-01,BC,3.9156806165484443,incremental_baseline
AACG,2024-03-07,AR_TOP,0.6321430230191809,incremental_baseline
AACG,2024-07-15,SC,5.214917516576341,incremental_baseline
AACG,2025-07-30,SOS,4.162282468750255,incremental_baseline
AACG,2025-08-01,UT,5.189559744527854,incremental_baseline
AAMI,2025-07-31,BC,2.320871117169431,incremental_baseline
AAMI,2025-08-01,AR_TOP,1.6464629627102247,incremental_baseline
AAMI,2025-08-05,SOS,3.9923271245719083,incremental_baseline
AAMI,2025-09-04,UT,3.890418059963929,incremental_baseline
AAL,2024-07-25,SC,2.303447396415912,incremental_baseline
AAL,2024-07-26,AR,1.3226783045615729,incremental_baseline
AAL,2024-12-05,BC,4.873795820580252,incremental_baseline
AAL,2024-12-18,AR_TOP,1.7287716948051017,incremental_baseline
AAL,2025-01-15,UT,0.16622087194991483,incremental_baseline
AAL,2025-04-04,SOW,2.3031110063872764,incremental_baseline
AAL,2025-04-09,SPRING,3.0204622500149543,incremental_baseline
AAME,2024-11-25,SC,4.733593454857119,incremental_baseline
AAME,2024-11-27,AR,0.5101905952485948,incremental_baseline
AAME,2025-01-27,BC,4.846672196307883,incremental_baseline
AAME,2025-01-31,AR_TOP,1.9911945080571678,incremental_baseline
AAME,2025-03-25,SOS,4.61085347491387,incremental_baseline
AAME,2025-03-26,UT,0.6105810474560028,incremental_baseline
AAOI,2024-07-16,BC,2.3295204169190526,incremental_baseline
AAOI,2024-07-17,AR_TOP,2.0842265378647062,incremental_baseline
AAOI,2024-09-04,SOS,2.0331171622940527,incremental_baseline
AAOI,2024-09-05,UT,1.3060052442483514,incremental_baseline
AAPG,2025-04-08,BC,2.820492138810087,incremental_baseline
AAPG,2025-04-09,AR_TOP,1.50857537612107,incremental_baseline
AAPG,2025-05-30,SOS,2.3639737800653284,incremental_baseline
AAON,2025-08-11,SC,5.606406709525949,incremental_baseline
AAON,2025-08-12,AR,3.497667699318037,incremental_baseline
AAP,2024-08-22,SC,6.190729529449012,incremental_baseline
AAP,2025-05-22,BC,6.0752466706009844,incremental_baseline
AAP,2025-05-23,AR_TOP,0.9584721461501651,incremental_baseline
AAP,2025-05-29,UT,2.6321929079112953,incremental_baseline
AAP,2025-07-22,SOS,1.8567937825928378,incremental_baseline
AAPB,2024-06-11,BC,3.7357948550755595,incremental_baseline
AAPB,2024-06-18,AR_TOP,1.0205707959891765,incremental_baseline
AAPB,2024-07-18,SOS,1.6978443847130225,incremental_baseline
AAPB,2024-07-22,UT,0.10794387794331413,incremental_baseline
