detector,event,density,median_fwd_20,win_rate_20,p5_fwd_20,stability_delta,event_count,median_ci_low,median_ci_high
contextual_event,BC_after_ACCUMULATION,0.12287220155367097,-0.003912376857057143,0.4657312466270912,-0.3199491525423729,0.014894083460839203,2099,-0.008720930232558266,-0.0009508872889832931
contextual_event,BC_after_DISTRIBUTION,0.08903697882950622,-0.03724871895940085,0.3416370106761566,-0.40215314587373413,-0.011532422232111095,1521,-0.04830088842435315,-0.03201134432648713
contextual_event,BC_after_MARKDOWN,0.03243029998129286,-0.0002840835722216495,0.491395793499044,-0.32997287415968857,-0.014240682528668391,554,-0.008602150537634357,0.004670402989058076
contextual_event,BC_after_MARKUP,0.035123068571797325,-0.01685180854381041,0.3743218806509946,-0.338679167205483,0.015213977312667493,600,-0.027918781725888353,-0.0071793535675308525
contextual_event,SOS_after_ACCUMULATION,0.022186071647851975,-0.02466685516264311,0.37359550561797755,-0.4388634809953514,0.024054415911809124,379,-0.03772222311173734,-0.013080217373514232
contextual_event,SOS_after_DISTRIBUTION,0.13797512103954382,-0.00992065279694565,0.4281867145421903,-0.31812560231288145,0.01174605581064303,2357,-0.013646299487769695,-0.007041565583396794
contextual_event,SOS_after_MARKDOWN,0.011180843495355482,-0.04495521506036004,0.2857142857142857,-0.45373434343434343,-0.0474491465084344,191,-0.06788079470198682,-0.023082989439073165
contextual_event,SOW_after_ACCUMULATION,0.057894524695845925,0.03413090374404304,0.6468172484599589,-0.22184580851673555,0.008119523224514036,989,0.028346594692285055,0.04118326422364982
contextual_event,SOW_after_DISTRIBUTION,0.02037137977164245,0.04631112534699988,0.6873156342182891,-0.21489135725981326,-0.01162458024651336,348,0.0322640632264064,0.05951017219328731
contextual_event,SOW_after_MARKUP,0.006439229238162843,0.03367895656666575,0.6818181818181818,-0.16283757338551857,0.04394225457988621,110,0.0070491790100728115,0.06725364908242981
contextual_event,SPRING_after_ACCUMULATION,0.015571227066830147,0.02815804705667313,0.5866141732283464,-0.24604930086788815,0.03200859810579626,266,0.011607142857142927,0.03826272305307221
contextual_event,SPRING_after_DISTRIBUTION,0.016859072914462717,0.04509447616659268,0.7107142857142857,-0.1927916920304283,-0.00046606334806242877,288,0.03836219195689908,0.05833873466162317
contextual_event,SPRING_after_MARKDOWN,0.04923083444813592,0.04257703516635314,0.7019230769230769,-0.15022897757278242,0.005388798621808855,841,0.03276867536795325,0.05038769740360541
contextual_event,SPRING_after_MARKUP,0.005619690971487572,0.05997620654091762,0.7083333333333334,-0.1226135511557106,0.008621109828618856,96,0.02870082462618362,0.07442367944724693
