date,symbol,event,prior_regime,detector,fwd_5,fwd_10,fwd_20,fwd_40
2025-11-25,A,BC_after_ACCUMULATION,ACCUMULATION,contextual_event,-0.050508905852417296,-0.08734096692111959,-0.12010178117048342,
2025-10-23,AA,BC_after_ACCUMULATION,ACCUMULATION,contextual_event,-0.08420528151469864,-0.0857000498256103,-0.10737419033383167,0.2767812655705033
2024-04-15,AAAU,BC_after_DISTRIBUTION,DISTRIBUTION,contextual_event,-0.024121878967414356,-0.021794329242488364,-0.020947947524333377,-0.03046974185357587
2024-08-02,AAAU,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,-0.003731343283582045,0.028606965174129195,0.02632669983416247,0.07898009950248741
2025-10-27,AACB,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,0.0009765625,0.0029296875,0.0078125,
2025-07-31,AACG,BC_after_ACCUMULATION,ACCUMULATION,contextual_event,-0.2567567567567569,-0.07432432432432434,0.0045045045045044585,-0.26126126126126137
2024-04-03,AADR,BC_after_ACCUMULATION,ACCUMULATION,contextual_event,-0.011832427246562194,-0.04429165334186114,-0.0273425007994883,0.036296770067157036
2024-05-22,AADR,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,0.016142890292315526,-0.008159246414258914,-0.031747997817511364,-0.013646825670582285
2025-08-12,AAL,BC_after_ACCUMULATION,ACCUMULATION,contextual_event,0.018489984591679498,0.013097072419106404,-0.012326656394452962,-0.09013867488443761
2025-08-19,AAME,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,-0.008498583569405027,-0.07648725212464591,-0.025495750708215303,-0.16147308781869685
2025-12-19,AAME,BC_after_MARKUP,MARKUP,contextual_event,,,,
2025-08-05,AAMI,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,0.07274360125729684,0.05904804669959596,0.1268522676246071,0.038167938931297885
2024-11-29,AAOI,SOS_after_DISTRIBUTION,DISTRIBUTION,contextual_event,-0.056768558951964976,-0.11620572537603102,-0.1208151382823871,-0.3190198932557011
