detector,event,density,median_fwd_20,win_rate_20,p5_fwd_20,stability_delta
contextual_event,BC_after_ACCUMULATION,0.12287220155367097,-0.003912376857057143,0.4657312466270912,-0.3199491525423729,0.014894083460839203
contextual_event,BC_after_DISTRIBUTION,0.08903697882950622,-0.03724871895940085,0.3416370106761566,-0.40215314587373413,-0.011532422232111095
contextual_event,BC_after_MARKDOWN,0.03243029998129286,-0.0002840835722216495,0.491395793499044,-0.32997287415968857,-0.014240682528668391
contextual_event,BC_after_MARKUP,0.035123068571797325,-0.01685180854381041,0.3743218806509946,-0.338679167205483,0.015213977312667493
contextual_event,SOS_after_ACCUMULATION,0.022186071647851975,-0.02466685516264311,0.37359550561797755,-0.4388634809953514,0.024054415911809124
contextual_event,SOS_after_DISTRIBUTION,0.13797512103954382,-0.00992065279694565,0.4281867145421903,-0.31812560231288145,0.01174605581064303
contextual_event,SOS_after_MARKDOWN,0.011180843495355482,-0.04495521506036004,0.2857142857142857,-0.45373434343434343,-0.0474491465084344
contextual_event,SOW_after_ACCUMULATION,0.057894524695845925,0.03413090374404304,0.6468172484599589,-0.22184580851673555,0.008119523224514036
contextual_event,SOW_after_DISTRIBUTION,0.02037137977164245,0.04631112534699988,0.6873156342182891,-0.21489135725981326,-0.01162458024651336
contextual_event,SOW_after_MARKUP,0.006439229238162843,0.03367895656666575,0.6818181818181818,-0.16283757338551857,0.04394225457988621
contextual_event,SPRING_after_ACCUMULATION,0.015571227066830147,0.02815804705667313,0.5866141732283464,-0.24604930086788815,0.03200859810579626
contextual_event,SPRING_after_DISTRIBUTION,0.016859072914462717,0.04509447616659268,0.7107142857142857,-0.1927916920304283,-0.00046606334806242877
contextual_event,SPRING_after_MARKDOWN,0.04923083444813592,0.04257703516635314,0.7019230769230769,-0.15022897757278242,0.005388798621808855
contextual_event,SPRING_after_MARKUP,0.005619690971487572,0.05997620654091762,0.7083333333333334,-0.1226135511557106,0.008621109828618856
